Subject,Breed,Sex,DOB
04-01-LD,LRxGR,F,2018-11-02
04-02-LE,LRxGR,M,2018-12-03
04-03-LD,LRxGR,M,2018-11-02
04-04-LZ,LR,M,2018-06-04
04-07-LE,LRxGR,M,2018-12-03
04-08-LE,LRxGR,F,2018-12-03
05-01-LD,LRxGR,M,2018-11-02
05-03-LF,LR,F,2018-03-16
05-04-LZ,LR,M,2018-06-04
05-05-LE,LRxGR,M,2018-12-03
05-11-LE,LRxGR,M,2018-12-03
05-13-LE,LRxGR,F,2018-12-03
05-14-LE,LRxGR,F,2018-12-03
05-22-LE,LRxGR,F,2018-12-03
07-01-LG,LRxGR,M,2018-04-15
07-02-LH,LRxGR,M,2018-11-05
07-03-LE,LRxGR,F,2018-12-03
07-04-LZ,LR,M,2018-06-04
08-01-LH,LRxGR,M,2018-11-05
08-02-LH,LRxGR,M,2018-11-05
08-04-LH,LRxGR,F,2018-11-05
09-01-LI,LRxGR,F,2018-06-28
09-02-LJ,LR,M,2018-03-07
09-03-LJ,LR,F,2018-03-07
09-04-LJ,LR,F,2018-03-07
10-03-LJ,LR,F,2018-03-07
10-04-LJ,LR,F,2018-03-07
10-11-LJ,LR,M,2018-03-07
10-12-LJ,LR,F,2018-03-07
10-13-LK,LRxGR,M,2018-02-08
10-15-LK,LRxGR,M,2018-02-08
10-14-LI,LRxGR,M,2018-06-28
11-02-IM,LR,M,2018-08-25
11-11-IK,LRxGR,M,2018-02-08
11-21-IK,LRxGR,F,2018-02-08
11-22-IM,LR,F,2018-08-25
11-23-IT,GR,M,2018-09-25
11-24-IK,LRxGR,M,2018-02-08
11-25-IJ,LR,F,2018-03-07
11-26-IL,LR,F,2018-08-17
11-27-II,LRxGR,F,2018-06-28
11-28-IZ,LR,M,2018-10-19
