Item,Reference designator(s),Qty,Component / function,Value,Manufacturer,Manufacturer part number,PCB footprint,Assembly note
1,AE1,1,2450AT18A100E,—,Johanson Technology,2450AT18A100E,ANT-SMD L3.2×W1.6,2.4 GHz chip antenna
2,"C1,C8,C25,C26,C27,C28,C41,C49,C50,C51,C55,C56,C58,C59",14,100 nF,100 nF,Yageo,CC0603KPX7R7BB104,C0603,Decoupling / bypass
3,"C2,C3,C19,C54,C60",5,1 µF,1 µF,Samsung,CL10B105KO8NNND,C0603,Decoupling / local storage
4,C5,1,47 µF,47 µF,Murata,GRM21BR60J476ME01L,C0805,Bulk capacitance
5,"C23,C24,C46,C52",4,4.7 µF,4.7 µF,Yageo,CC0603KRX5R5BB475,C0603,Power decoupling
6,"C42,C43,C61,C62",4,8.2 pF,8.2 pF,Murata,GRM1555C1H8R2BA01D,C0402,Clock / RF network
7,C53,1,10 nF,10 nF,Murata,GCM188R71H103KA37D,C0603,Timing / filtering
8,C57,1,100 pF,100 pF,Murata,GCM1885C1H101JA16D,C0603,RF / filtering
9,D1,1,Schottky diode,—,MCC,B5819W-TP,SOD-123,Power-path diode
10,D2,1,TVS diode,—,Vishay,SMF5V0A-E3-08,SMF,VBUS transient protection
11,D3,1,USB ESD protector,—,STMicroelectronics,USBLC6-2SC6,SOT-23-6,USB D+/D− ESD protection
12,F1,1,Resettable fuse,—,Bourns,MF-NSMF050-2,F1206,USB input over-current protection
13,FL1,1,2.4 GHz LPF / matching network,—,STMicroelectronics,MLPF-WB-01E3,LGA 6-pad,Final fitted RF filter/matching part
14,L1,1,2.2 µH,2.2 µH,Murata,Not recorded,L1008,Inductor; exact orderable MPN not recorded in BOM2
15,LED5,1,Bi-colour LED,red/green,Kingbright,APFA2507R9G2C,4-pad SMD 2.5×1.0 mm,Final fitted LED
16,Q1,1,P-channel MOSFET,—,Diodes Incorporated,DMG2305UX-7,SOT-23-3,Final fitted power-path MOSFET
17,"R1,R10,R27,R35,R42",5,10 kΩ,10 kΩ,Yageo,RC0603FR-0710KL,R0603,R35 final value changed to 10 kΩ
18,"R2,R22",2,100 kΩ,100 kΩ,Yageo,RC0603FR-07100KL,R0603,—
19,"R8,R9",2,5.1 kΩ,5.1 kΩ,Yageo,RC0603FR-075K1L,R0603,USB-C CC resistors
20,R21,1,470 kΩ,470 kΩ,Yageo,RC0603FR-07470KL,R0603,—
21,R36,1,0 Ω,0 Ω,Yageo,RC0402FR-070RL,R0402,Link / reserved configuration
22,"R37,R38,R39,R43,R44",5,22 Ω,22 Ω,Yageo,RC0603FR-0722RL,R0603,Series / interface resistors
23,"R40,R41",2,4.7 kΩ,4.7 kΩ,Yageo,RC0603FR-074K7L,R0603,I²C pull-ups
24,"R20,R45,R46",3,1.2 kΩ,1.2 kΩ,Yageo,RC0603FR-071K2L,R0603,R20 final charge-current set value; R45/R46 LED resistors
25,SW1,1,Slide switch,—,Shou Han,MSK12C02,Through-hole slide switch,Main power switch
26,"SW3,SW4",2,Tactile switch,—,Not recorded,TS-1088-AR02016,Tactile switch,User / bootloader-reset controls
27,U3,1,Load switch,—,Texas Instruments,TPS22917DBVR,SOT-23-6,System load switching
28,U5,1,Ideal-diode / power-path controller,—,Analog Devices,LTC4412ES6#TRPBF,TSOT-23-6,USB/battery source-path control
29,U6,1,Fuel gauge,—,Analog Devices / Maxim,MAX17048G+T10,TDFN-8 2×2 mm,Battery state-of-charge measurement
30,U7,1,Single-cell Li-ion/LiPo charger,—,Texas Instruments,BQ21040DBVT,SOT-23-6,Battery charging
31,U8,1,3.0 V LDO,3.0 V,Texas Instruments,TLV75530PDBVR,SOT-23-5,Regulated system rail
32,U9,1,3-pin battery connector,—,Molex,53261-0371,1.25 mm right-angle connector,Battery + / GND / thermistor
33,U10,1,6-axis IMU,—,STMicroelectronics,LSM6DSOXTR,LGA-14 3.0×2.5 mm,Accelerometer + gyroscope
34,U13,1,Digital temperature sensor,—,Texas Instruments,TMP117AIDRVR,WSON-6 2×2 mm,Local collar temperature
35,U14,1,Wireless MCU,—,STMicroelectronics,STM32WB55CGU6,VQFN-48 7×7 mm,Final fitted v2 MCU; same footprint as schematic CCU6 symbol
36,USB2,1,USB Type-C receptacle,—,GCT,USB4110-GF-A,USB-C 16-pin SMD,Power and USB bootloader programming
37,X1,1,32 MHz crystal,32 MHz,NDK,NX2016SA-32M-EXS00A-CS06465,2.0×1.6 mm 4-pad,HSE clock
38,X2,1,32.768 kHz crystal,32.768 kHz,Abracon,ABS07-32.768KHZ-6-T,3.2×1.5 mm,LSE clock
